year_month,place,city,state,temperature,pressure,dew_point,humidity,wind_speed,gust,wind_chill,uv_index,feels_like_temperature,visibility,pollutant_value
1996-08,Batu Maung,Bayan Lepas,Pulau Pinang,25.916666666666668,1009.4316666666667,23.652173913043477,87.43478260869566,7.75,,25.545454545454547,0.0,27.652173913043477,8.56,
1996-08,Kota Sentosa,Kuching,Sarawak,26.08695652173913,1005.9904347826086,23.26086956521739,85.91304347826087,5.266666666666667,,26.08695652173913,0.0,27.652173913043477,8.91304347826087,
1996-08,Sepang,Sepang,Kuala Lumpur,25.9,1007.7377272727273,23.35,86.5,8.692307692307692,,25.333333333333332,0.0,27.1,6.8,
1996-08,Tanjung Aru,Kota Kinabalu,Sabah,26.608695652173914,1007.6899999999999,24.08695652173913,86.56521739130434,6.454545454545454,,26.608695652173914,0.0,28.782608695652176,9.0,
1996-09,Batu Maung,Bayan Lepas,Pulau Pinang,25.714285714285715,1006.7828571428571,24.285714285714285,91.85714285714286,3.0,,25.714285714285715,0.0,27.142857142857142,9.0,
1996-09,Kota Sentosa,Kuching,Sarawak,26.3,1003.481,23.7,86.7,6.25,,26.3,0.0,27.8,9.0,
1996-09,Sepang,Sepang,Kuala Lumpur,27.6,1004.3475000000001,23.7,82.0,7.428571428571429,,27.6,0.0,29.6,7.8,
1996-09,Tanjung Aru,Kota Kinabalu,Sabah,27.2,1004.7689999999999,23.4,80.0,7.7,,27.2,0.0,30.1,9.0,
1998-01,Kota Sentosa,Kuching,Sarawak,27.0,1004.78,24.0,84.0,6.0,,27.0,0.0,30.0,9.0,
1998-06,Batu Maung,Bayan Lepas,Pulau Pinang,27.0,1010.64,24.0,84.0,4.0,,27.0,0.0,30.0,9.0,
1998-06,Kota Sentosa,Kuching,Sarawak,25.0,1007.77,25.0,100.0,,,25.0,,25.0,7.0,
1998-06,Tanjung Aru,Kota Kinabalu,Sabah,26.0,1011.16,23.0,83.0,2.0,,26.0,,28.0,9.0,
1998-07,Batu Maung,Bayan Lepas,Pulau Pinang,27.358885017421603,1008.3562629757786,24.390243902439025,84.47038327526133,7.502369668246446,37.75,27.379432624113477,0.0,30.51567944250871,8.585616438356164,
1998-07,Kota Sentosa,Kuching,Sarawak,26.546666666666667,1005.5586423841061,23.686666666666667,85.41333333333333,5.140845070422535,,26.540268456375838,0.0,28.546666666666667,8.822950819672132,
1998-07,Petaling,Shah Alam,Selangor,27.0,1007.27,25.0,89.0,3.0,,27.0,0.0,30.5,9.0,
