state,year_month,predicted_landings,lower_80,upper_80,lower_95,upper_95
Johor,2024-01-01,2682,2399,3003,2215,3400
Johor,2024-02-01,2746,2453,3075,2243,3462
Johor,2024-03-01,3384,3101,3709,2917,3918
Johor,2024-04-01,3812,3528,4116,3336,4345
Johor,2024-05-01,4184,3892,4514,3717,4718
Johor,2024-06-01,4427,4143,4731,3923,4924
Johor,2024-07-01,4477,4174,4781,4000,5010
Johor,2024-08-01,4769,4466,5094,4264,5303
Johor,2024-09-01,4943,4683,5253,4467,5476
Johor,2024-10-01,5378,5094,5682,4910,5875
Johor,2024-11-01,4339,4047,4651,3863,4836
Johor,2024-12-01,3361,3059,3666,2894,3858
Johor,2025-01-01,3221,2961,3546,2755,3759
Johor,2025-02-01,3087,2758,3398,2584,3621
Johor,2025-03-01,3782,3455,4080,3306,4498
Johor,2025-04-01,4200,3935,4529,3697,4916
Johor,2025-05-01,4450,4158,4772,3947,4983
Johor,2025-06-01,4567,4284,4889,4064,5285
Johor,2025-07-01,4475,4148,4779,3874,4972
Johor,2025-08-01,4764,4480,5085,4260,5297
Johor,2025-09-01,4887,4595,5198,4383,5420
Johor,2025-10-01,5511,5249,5822,5044,6009
Johor,2025-11-01,4327,4034,4631,3851,4824
Johor,2025-12-01,3422,3130,3661,2946,3917
Johor,2026-01-01,3278,2975,3577,2802,3811
Johor,2026-02-01,3224,2940,3549,2748,3940
Johor,2026-03-01,3989,3697,4314,3485,4705
Johor,2026-04-01,4460,4209,4764,3984,4993
Johor,2026-05-01,4466,4174,4777,3963,4999
Johor,2026-06-01,4567,4275,4889,4091,5105
Johor,2026-07-01,4475,4210,4796,3999,4972
Johor,2026-08-01,4764,4461,4998,4287,5297
Johor,2026-09-01,4928,4678,5238,4482,5425
Johor,2026-10-01,5378,5093,5699,4910,5916
Johor,2026-11-01,4327,4024,4625,3821,4825
Johor,2026-12-01,3422,3162,3733,2918,4138
Johor,2027-01-01,3298,3015,3603,2795,3836
Johor,2027-02-01,3293,3010,3597,2817,3790
Johor,2027-03-01,4155,3852,4485,3679,4873
Johor,2027-04-01,4752,4468,5064,4277,5469
Johor,2027-05-01,4792,4465,5113,4316,5290
Johor,2027-06-01,4878,4594,5199,4410,5411
Johor,2027-07-01,4838,4535,5142,4335,5335
Johor,2027-08-01,5133,4850,5462,4666,5850
Johor,2027-09-01,4919,4636,5230,4416,5453
Johor,2027-10-01,5511,5249,5833,5044,6228
Johor,2027-11-01,4327,4043,4648,3859,4860
Johor,2027-12-01,3422,3119,3726,2946,4138
Johor,2028-01-01,3298,3015,3533,2823,3793
Johor,2028-02-01,3314,3029,3635,2846,4030
Johor,2028-03-01,4179,3895,4504,3703,4895
Johor,2028-04-01,4759,4467,5084,4292,5256
Johor,2028-05-01,4793,4531,5098,4290,5291
Johor,2028-06-01,4869,4586,5195,4393,5586
Johor,2028-07-01,4829,4537,5133,4354,5324
Johor,2028-08-01,5059,4775,5380,4583,5556
Johor,2028-09-01,4919,4628,5244,4443,5457
Johor,2028-10-01,5378,5094,5699,4874,5911
Johor,2028-11-01,4327,4000,4631,3824,4860
Johor,2028-12-01,3422,3130,3743,2918,3955
Johor,2029-01-01,3298,3049,3620,2833,3795
Johor,2029-02-01,3311,3048,3641,2845,4027
Johor,2029-03-01,4176,3893,4487,3709,4710
Johor,2029-04-01,4754,4462,5079,4286,5470
Johor,2029-05-01,4793,4531,5092,4326,5327
Johor,2029-06-01,4869,4577,5194,4394,5586
Johor,2029-07-01,4829,4566,5150,4362,5363
Johor,2029-08-01,5059,4809,5393,4583,5775
Johor,2029-09-01,4919,4657,5231,4454,5636
Johor,2029-10-01,5511,5252,5847,5044,6291
Johor,2029-11-01,4327,4035,4652,3851,4860
Johor,2029-12-01,3422,3119,3732,2918,3955
Johor,2030-01-01,3298,3033,3620,2795,3795
Johor,2030-02-01,3311,3008,3632,2808,3844
Johor,2030-03-01,4176,3885,4481,3700,4671
Johor,2030-04-01,4759,4456,5093,4283,5475
Johor,2030-05-01,4793,4510,5118,4318,5573
Johor,2030-06-01,4869,4577,5194,4402,5649
Johor,2030-07-01,4829,4546,5128,4354,5363
Johor,2030-08-01,5059,4776,5357,4583,5597
Johor,2030-09-01,4919,4592,5230,4416,5416
Johor,2030-10-01,5378,5050,5699,4874,6095
Johor,2030-11-01,4327,4043,4652,3850,4860
Johor,2030-12-01,3422,3138,3732,2946,3955
Kedah,2024-01-01,9843,9515,10164,9366,10376
Kedah,2024-02-01,9701,9399,10000,9226,10418
Kedah,2024-03-01,10223,9931,10548,9747,10756
Kedah,2024-04-01,10223,9939,10462,9747,10939
Kedah,2024-05-01,10278,10013,10603,9810,10994
Kedah,2024-06-01,10250,9985,10571,9782,10966
Kedah,2024-07-01,10411,10108,10732,9908,10945
Kedah,2024-08-01,10386,10135,10711,9910,11165
Kedah,2024-09-01,10550,10258,10848,10047,11047
Kedah,2024-10-01,11257,10973,11578,10781,11790
Kedah,2024-11-01,11043,10760,11348,10540,11577
Kedah,2024-12-01,10875,10582,11204,10399,11591
Kedah,2025-01-01,10319,10056,10629,9873,10817
Kedah,2025-02-01,9069,8786,9390,8594,9786
Kedah,2025-03-01,9596,9304,9900,9120,10129
Kedah,2025-04-01,9658,9366,9962,9155,10374
Kedah,2025-05-01,9264,8972,9568,8796,9797
Kedah,2025-06-01,9521,9237,9825,9053,10059
Kedah,2025-07-01,9413,9120,9742,8937,10130
Kedah,2025-08-01,9754,9470,10079,9287,10470
Kedah,2025-09-01,10102,9800,10424,9599,10636
Kedah,2025-10-01,10430,10171,10755,9963,11147
Kedah,2025-11-01,9766,9481,10091,9290,10299
Kedah,2025-12-01,9673,9389,9977,9196,10211
Kedah,2026-01-01,8906,8646,9210,8438,9439
Kedah,2026-02-01,8595,8268,8905,8092,9129
Kedah,2026-03-01,8339,8076,8664,7863,8837
Kedah,2026-04-01,8728,8425,9032,8252,9223
Kedah,2026-05-01,8387,8103,8712,7911,9103
Kedah,2026-06-01,8452,8149,8750,7976,8985
Kedah,2026-07-01,8361,8069,8671,7885,8858
Kedah,2026-08-01,8646,8362,8956,8170,9143
Kedah,2026-09-01,8911,8627,9221,8435,9444
Kedah,2026-10-01,9808,9516,10130,9332,10524
Kedah,2026-11-01,8511,8227,8821,8035,9044
Kedah,2026-12-01,7794,7531,8104,7327,8291
Kedah,2027-01-01,8059,7774,8369,7555,8592
Kedah,2027-02-01,7863,7516,8184,7387,8396
Kedah,2027-03-01,8434,8150,8755,7958,8967
Kedah,2027-04-01,8668,8363,8993,8165,9384
Kedah,2027-05-01,8340,8089,8661,7874,8873
Kedah,2027-06-01,8350,8058,8660,7847,8848
Kedah,2027-07-01,8320,7993,8645,7817,8853
Kedah,2027-08-01,8529,8266,8850,8026,9062
Kedah,2027-09-01,8654,8327,8975,8053,9370
Kedah,2027-10-01,8574,8311,8899,8098,9353
Kedah,2027-11-01,7782,7476,8081,7181,8277
Kedah,2027-12-01,7710,7447,8031,7207,8248
Kedah,2028-01-01,7209,6946,7538,6733,7925
Kedah,2028-02-01,6911,6627,7240,6444,7627
Kedah,2028-03-01,10059,9826,10384,9592,10557
Kedah,2028-04-01,9933,9674,10268,9466,10712
Kedah,2028-05-01,9359,9099,9680,8883,10075
Kedah,2028-06-01,9233,8905,9554,8730,9766
Kedah,2028-07-01,8970,8667,9280,8494,9467
Kedah,2028-08-01,9543,9259,9847,9067,10040
Kedah,2028-09-01,9451,9159,9761,8975,9984
Kedah,2028-10-01,9499,9196,9803,9023,10215
Kedah,2028-11-01,8120,7835,8430,7616,8653
Kedah,2028-12-01,7545,7262,7843,7078,8079
Kedah,2029-01-01,7035,6742,7345,6559,7568
